CreditScore,Age,Balance,NumOfProducts,IsActiveMember,Geography_Germany,Geography_Spain,Gender_Male
724,30,0.0,2,1,0,0,1
607,39,0.0,3,0,0,0,0
784,35,0.0,2,0,0,1,1
694,40,0.0,2,0,0,0,1
705,33,144427.96,2,0,0,0,1
584,36,109646.83,1,1,1,0,0
627,40,0.0,2,1,0,1,1
779,37,120092.52,2,0,1,0,1
431,44,138843.7,1,0,1,0,0
645,33,149564.61,1,0,1,0,1
675,34,124619.33,2,1,0,0,1
587,47,71026.77,1,0,0,0,1
596,54,123544.0,1,1,1,0,1
714,44,0.0,1,1,0,1,1
503,42,153279.39,1,1,1,0,1
703,28,0.0,2,1,0,0,1
850,49,98649.55,1,0,1,0,1
740,31,0.0,2,0,0,1,0
850,35,0.0,1,1,0,0,0
649,35,108306.44,1,1,0,0,0
586,36,103700.69,1,0,1,0,0
543,57,106138.33,2,1,1,0,0
685,30,0.0,2,1,0,0,1
828,28,134766.85,1,0,0,1,1
596,29,0.0,2,0,0,1,0
548,39,131468.44,1,0,0,1,1
543,32,147256.86,1,0,0,0,0
741,50,78737.61,1,1,0,1,1
534,23,104822.45,1,1,0,0,0
740,36,109044.6,1,0,1,0,0
717,36,99472.76,2,0,0,0,0
587,33,132603.36,1,0,1,0,1
640,29,197200.04,2,0,0,1,1
694,57,116326.07,1,1,0,1,1
453,38,120623.21,1,0,1,0,0
669,29,0.0,1,1,0,1,1
736,26,135889.13,1,1,0,1,0
507,29,89349.47,2,0,0,0,0
584,41,0.0,2,1,0,0,0
822,38,128289.7,3,0,0,0,1
689,22,136444.25,1,0,0,0,1
736,43,202443.47,1,0,0,0,1
625,52,121161.57,1,0,0,1,1
641,40,102145.13,1,1,0,1,1
508,41,0.0,2,1,0,0,0
778,29,150358.97,1,0,1,0,0
644,46,12459.19,1,0,0,1,0
750,35,0.0,1,0,0,0,0
529,43,93616.35,2,0,0,0,1
640,66,116037.76,1,1,0,0,0
634,41,68213.99,1,1,0,0,0
632,49,167962.7,1,0,0,0,0
577,30,92472.1,2,1,0,0,0
570,29,153040.03,1,1,0,0,0
721,51,169312.13,1,0,0,1,1
806,37,137794.18,2,1,0,1,0
